threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.57,0.7035830618892508,0.6784140969162996,0.5855513307984791,0.32158590308370044,0.6285714285714286,0.792022792022792,0.4583333333333333,278,73,109,154,TCN
0.58,0.6921824104234527,0.6712962962962963,0.5513307984790875,0.3287037037037037,0.605427974947808,0.7977207977207977,0.4341317365269461,280,71,118,145,TCN
0.59,0.6954397394136808,0.6862745098039216,0.532319391634981,0.3137254901960784,0.5995717344753747,0.8176638176638177,0.42813455657492355,287,64,123,140,TCN
0.6,0.6872964169381107,0.6878306878306878,0.49429657794676807,0.31216931216931215,0.5752212389380531,0.8319088319088319,0.40372670807453415,292,59,133,130,TCN
0.61,0.6840390879478827,0.6971428571428572,0.46387832699619774,0.3028571428571429,0.5570776255707762,0.8490028490028491,0.3860759493670886,298,53,141,122,TCN
0.62,0.6742671009771987,0.6909090909090909,0.43346007604562736,0.3090909090909091,0.5327102803738317,0.8547008547008547,0.3630573248407643,300,51,149,114,TCN
0.63,0.6693811074918566,0.7054794520547946,0.3916349809885932,0.2945205479452055,0.5036674816625917,0.8774928774928775,0.3366013071895425,308,43,160,103,TCN
0.64,0.6726384364820847,0.7279411764705882,0.376425855513308,0.27205882352941174,0.49624060150375937,0.8945868945868946,0.33,314,37,164,99,TCN
0.65,0.6563517915309446,0.7131147540983607,0.33079847908745247,0.28688524590163933,0.45194805194805193,0.9002849002849003,0.29194630872483224,316,35,176,87,TCN
0.66,0.6449511400651465,0.7142857142857143,0.28517110266159695,0.2857142857142857,0.4076086956521739,0.9145299145299145,0.25597269624573377,321,30,188,75,TCN
0.67,0.6482084690553745,0.7526881720430108,0.2661596958174905,0.24731182795698925,0.39325842696629215,0.9344729344729344,0.24475524475524477,328,23,193,70,TCN
0.68,0.6449511400651465,0.7777777777777778,0.23954372623574144,0.2222222222222222,0.36627906976744184,0.9487179487179487,0.22419928825622776,333,18,200,63,TCN
